gene_name,gene_id,genome
AGA,ENSG00000038002,hg38
PI4K2B,ENSG00000038210,hg38
BOD1L1,ENSG00000038219,hg38
MAT2B,ENSG00000038274,hg38
TLL1,ENSG00000038295,hg38
EDC4,ENSG00000038358,hg38
TRIO,ENSG00000038382,hg38
VCAN,ENSG00000038427,hg38
CLEC16A,ENSG00000038532,hg38
MSR1,ENSG00000038945,hg38
CDH1,ENSG00000039068,hg38
MTREX,ENSG00000039123,hg38
DNAH5,ENSG00000039139,hg38
ZFYVE16,ENSG00000039319,hg38
RIPOR1,ENSG00000039523,hg38
C6,ENSG00000039537,hg38
RAI14,ENSG00000039560,hg38
SOX30,ENSG00000039600,hg38
PNKP,ENSG00000039650,hg38
BEST2,ENSG00000039987,hg38
PHLPP2,ENSG00000040199,hg38
SPDL1,ENSG00000040275,hg38
STAU2,ENSG00000040341,hg38
SLC66A1,ENSG00000040487,hg38
CTNS,ENSG00000040531,hg38
RTN4R,ENSG00000040608,hg38
PHF23,ENSG00000040633,hg38
CDH10,ENSG00000040731,hg38
INPP4A,ENSG00000040933,hg38
RAB27B,ENSG00000041353,hg38
PSMA4,ENSG00000041357,hg38
MYO16,ENSG00000041515,hg38
LSG1,ENSG00000041802,hg38
PARP3,ENSG00000041880,hg38
TNC,ENSG00000041982,hg38
THAP3,ENSG00000041988,hg38
RIPOR3,ENSG00000042062,hg38
TDP1,ENSG00000042088,hg38
AIFM2,ENSG00000042286,hg38
C2orf83,ENSG00000042304,hg38
SPATA7,ENSG00000042317,hg38
MED17,ENSG00000042429,hg38
RETSAT,ENSG00000042445,hg38
CAPG,ENSG00000042493,hg38
AP2S1,ENSG00000042753,hg38
USH2A,ENSG00000042781,hg38
ZPBP,ENSG00000042813,hg38
TG,ENSG00000042832,hg38
ADAM28,ENSG00000042980,hg38
BARX2,ENSG00000043039,hg38
DCUN1D1,ENSG00000043093,hg38
JADE2,ENSG00000043143,hg38
ZIC2,ENSG00000043355,hg38
LCP2,ENSG00000043462,hg38
TRIT1,ENSG00000043514,hg38
ADRB1,ENSG00000043591,hg38
GUCA2B,ENSG00000044012,hg38
CUL7,ENSG00000044090,hg38
CTNNA1,ENSG00000044115,hg38
PHKA2,ENSG00000044446,hg38
CNTLN,ENSG00000044459,hg38
EPHA3,ENSG00000044524,hg38
HSPA5,ENSG00000044574,hg38
DSG2,ENSG00000046604,hg38
GEMIN8,ENSG00000046647,hg38
OFD1,ENSG00000046651,hg38
GPM6B,ENSG00000046653,hg38
MAGEC2,ENSG00000046774,hg38
PREX2,ENSG00000046889,hg38
WDR37,ENSG00000047056,hg38
YTHDC2,ENSG00000047188,hg38
CTPS2,ENSG00000047230,hg38
ATP6V1H,ENSG00000047249,hg38
POLR2B,ENSG00000047315,hg38
ATOSA,ENSG00000047346,hg38
ARAP2,ENSG00000047365,hg38
TPR,ENSG00000047410,hg38
CP,ENSG00000047457,hg38
KATNIP,ENSG00000047578,hg38
DTNBP1,ENSG00000047579,hg38
XK,ENSG00000047597,hg38
ANO2,ENSG00000047617,hg38
C12orf4,ENSG00000047621,hg38
SCML1,ENSG00000047634,hg38
WWC3,ENSG00000047644,hg38
ARHGAP6,ENSG00000047648,hg38
FAM184B,ENSG00000047662,hg38
MAP4,ENSG00000047849,hg38
GOPC,ENSG00000047932,hg38
ROS1,ENSG00000047936,hg38
USP28,ENSG00000048028,hg38
HDAC9,ENSG00000048052,hg38
TSPAN17,ENSG00000048140,hg38
NOP16,ENSG00000048162,hg38
CC2D2A,ENSG00000048342,hg38
RRM2B,ENSG00000048392,hg38
ZNF800,ENSG00000048405,hg38
TNFRSF17,ENSG00000048462,hg38
SNX29,ENSG00000048471,hg38
LMO3,ENSG00000048540,hg38
MRPS10,ENSG00000048544,hg38
GUCA1A,ENSG00000048545,hg38
RSF1,ENSG00000048649,hg38
VPS13D,ENSG00000048707,hg38
CELF2,ENSG00000048740,hg38
FAM120A,ENSG00000048828,hg38
R3HDM1,ENSG00000048991,hg38
COL9A2,ENSG00000049089,hg38
KITLG,ENSG00000049130,hg38
ERCC8,ENSG00000049167,hg38
ADAMTS6,ENSG00000049192,hg38
H6PD,ENSG00000049239,hg38
VAMP3,ENSG00000049245,hg38
PER3,ENSG00000049246,hg38
UTS2,ENSG00000049247,hg38
TNFRSF9,ENSG00000049249,hg38
EPN3,ENSG00000049283,hg38
LTBP1,ENSG00000049323,hg38
RCN1,ENSG00000049449,hg38
ELN,ENSG00000049540,hg38
RFC2,ENSG00000049541,hg38
ARID1B,ENSG00000049618,hg38
CLPTM1L,ENSG00000049656,hg38
NEDD4L,ENSG00000049759,hg38
FOXP3,ENSG00000049768,hg38
PPP1R3F,ENSG00000049769,hg38
HEXB,ENSG00000049860,hg38
PTCD2,ENSG00000049883,hg38
NEXMIF,ENSG00000050030,hg38
JKAMP,ENSG00000050130,hg38
DKK3,ENSG00000050165,hg38
ARHGEF5,ENSG00000050327,hg38
NFE2L3,ENSG00000050344,hg38
MCUR1,ENSG00000050393,hg38
LIMA1,ENSG00000050405,hg38
LETMD1,ENSG00000050426,hg38
SLC4A8,ENSG00000050438,hg38
LAMC3,ENSG00000050555,hg38
PTGER3,ENSG00000050628,hg38
TNIP3,ENSG00000050730,hg38
MAPK9,ENSG00000050748,hg38
COL23A1,ENSG00000050767,hg38
BCAR1,ENSG00000050820,hg38
FHIP1B,ENSG00000051009,hg38
HERPUD1,ENSG00000051108,hg38
HOMER3,ENSG00000051128,hg38
RAD51,ENSG00000051180,hg38
POLQ,ENSG00000051341,hg38
PIK3CB,ENSG00000051382,hg38
CYBA,ENSG00000051523,hg38
THOC3,ENSG00000051596,hg38
HEBP2,ENSG00000051620,hg38
MPHOSPH9,ENSG00000051825,hg38
PLEKHA5,ENSG00000052126,hg38
PRSS8,ENSG00000052344,hg38
SIKE1,ENSG00000052723,hg38
RRP12,ENSG00000052749,hg38
FNIP2,ENSG00000052795,hg38
MSMO1,ENSG00000052802,hg38
TTC17,ENSG00000052841,hg38
ALX4,ENSG00000052850,hg38
FSTL4,ENSG00000053108,hg38
FOXN3,ENSG00000053254,hg38
METTL24,ENSG00000053328,hg38
AKR7A2,ENSG00000053371,hg38
MRTO4,ENSG00000053372,hg38
NNAT,ENSG00000053438,hg38
USE1,ENSG00000053501,hg38
MCF2L2,ENSG00000053524,hg38
NRIP2,ENSG00000053702,hg38
LAMA3,ENSG00000053747,hg38
AP5M1,ENSG00000053770,hg38
ANAPC4,ENSG00000053900,hg38
